patch,map,agent,win_rate,total_games,wins
10.10,Icebox,jett,56.0,25,14
10.10,Icebox,viper,51.52,33,17
10.10,Icebox,killjoy,48.39,31,15
10.10,Icebox,omen,38.89,18,7
10.10,Icebox,gekko,11.11,9,1
10.10,Icebox,kayo,0.0,4,0
10.10,Icebox,neon,0.0,2,0
10.10,Icebox,clove,0.0,1,0
10.10,Lotus,yoru,81.82,11,9
10.10,Lotus,vyse,66.67,15,10
10.10,Lotus,raze,55.17,29,16
10.10,Lotus,fade,54.55,33,18
10.10,Lotus,omen,50.0,36,18
10.10,Lotus,killjoy,50.0,12,6
10.10,Lotus,tejo,50.0,4,2
10.10,Lotus,viper,42.31,26,11
10.10,Lotus,sova,0.0,3,0
10.10,Lotus,cypher,0.0,3,0
10.10,Lotus,neon,0.0,3,0
10.10,Lotus,breach,0.0,3,0
10.10,Lotus,waylay,0.0,2,0
10.10,Pearl,vyse,100.0,5,5
10.10,Pearl,raze,100.0,4,4
10.10,Pearl,chamber,100.0,1,1
10.10,Pearl,fade,71.43,7,5
10.10,Pearl,astra,50.0,10,5
10.10,Pearl,yoru,50.0,10,5
10.10,Pearl,neon,0.0,2,0
10.10,Pearl,killjoy,0.0,4,0
10.10,Pearl,sova,0.0,3,0
10.10,Pearl,breach,0.0,2,0
10.10,Pearl,jett,0.0,1,0
10.10,Pearl,cypher,0.0,1,0
10.10,Split,astra,100.0,7,7
10.10,Split,raze,75.0,16,12
10.10,Split,yoru,60.0,20,12
10.10,Split,fade,60.0,20,12
10.10,Split,viper,50.0,26,13
10.10,Split,skye,33.33,3,1
10.10,Split,cypher,33.33,3,1
10.10,Split,omen,31.58,19,6
10.10,Split,breach,14.29,7,1
10.10,Split,neon,0.0,3,0
10.10,Split,deadlock,0.0,3,0
10.10,Split,tejo,0.0,3,0
10.10,Sunset,sage,100.0,6,6
10.10,Sunset,yoru,100.0,1,1
10.10,Sunset,deadlock,80.0,5,4
10.10,Sunset,raze,77.78,9,7
10.10,Sunset,fade,66.67,6,4
10.10,Sunset,viper,57.14,21,12
10.10,Sunset,omen,50.0,36,18
10.10,Sunset,kayo,50.0,2,1
10.10,Sunset,sova,46.67,30,14
10.10,Sunset,breach,44.44,9,4
10.10,Sunset,neon,40.74,27,11
10.10,Sunset,cypher,32.0,25,8
10.10,Sunset,gekko,0.0,2,0
10.10,Sunset,iso,0.0,1,0
10.11,Haven,jett,100.0,1,1
10.11,Haven,breach,100.0,1,1
10.11,Haven,killjoy,66.67,3,2
10.11,Haven,neon,66.67,3,2
10.11,Haven,viper,66.67,3,2
10.11,Haven,sova,50.0,6,3
10.11,Haven,omen,50.0,6,3
10.11,Haven,cypher,33.33,3,1
10.11,Haven,yoru,0.0,2,0
10.11,Haven,iso,0.0,2,0
10.11,Icebox,sage,100.0,3,3
10.11,Icebox,sova,50.0,6,3
10.11,Icebox,viper,50.0,6,3
10.11,Icebox,killjoy,50.0,6,3
10.11,Icebox,jett,50.0,6,3
10.11,Icebox,harbor,0.0,2,0
10.11,Icebox,omen,0.0,1,0
10.11,Lotus,viper,100.0,3,3
10.11,Lotus,chamber,100.0,3,3
10.11,Lotus,fade,60.0,5,3
10.11,Lotus,yoru,60.0,5,3
10.11,Lotus,omen,50.0,6,3
10.11,Lotus,raze,0.0,2,0
10.11,Lotus,vyse,0.0,2,0
10.11,Lotus,breach,0.0,1,0
10.11,Lotus,neon,0.0,1,0
10.11,Lotus,sova,0.0,1,0
10.11,Lotus,cypher,0.0,1,0
10.11,Sunset,viper,100.0,3,3
10.11,Sunset,cypher,57.14,7,4
10.11,Sunset,omen,50.0,8,4
10.11,Sunset,sova,50.0,8,4
10.11,Sunset,neon,50.0,8,4
10.11,Sunset,kayo,33.33,3,1
10.11,Sunset,breach,0.0,2,0
10.11,Sunset,vyse,0.0,1,0
11.0,Ascent,sage,100.0,2,2
11.0,Ascent,chamber,62.07,58,36
11.0,Ascent,vyse,54.29,70,38
11.0,Ascent,cypher,52.81,89,47
11.0,Ascent,yoru,51.92,104,54
11.0,Ascent,sova,50.99,202,103
11.0,Ascent,jett,50.42,119,60
11.0,Ascent,omen,50.0,214,107
11.0,Ascent,viper,50.0,12,6
11.0,Ascent,neon,50.0,12,6
11.0,Ascent,tejo,50.0,12,6
11.0,Ascent,kayo,48.96,96,47
11.0,Ascent,killjoy,41.03,39,16
11.0,Ascent,fade,28.57,14,4
11.0,Ascent,waylay,14.29,7,1
11.0,Ascent,deadlock,11.11,18,2
11.0,Ascent,astra,0.0,2,0
11.0,Bind,cypher,100.0,2,2
11.0,Bind,tejo,77.78,18,14
11.0,Bind,yoru,57.14,70,40
11.0,Bind,omen,57.14,14,8
11.0,Bind,fade,52.46,122,64
11.0,Bind,raze,52.0,150,78
11.0,Bind,viper,50.63,158,80
11.0,Bind,brimstone,50.0,124,62
11.0,Bind,astra,48.0,50,24
11.0,Bind,vyse,45.45,22,10
11.0,Bind,skye,45.0,40,18
11.0,Bind,gekko,44.74,76,34
11.0,Bind,deadlock,43.48,46,20
11.0,Bind,kayo,41.18,34,14
11.0,Bind,waylay,20.0,10,2
11.0,Bind,iso,0.0,4,0
11.0,Corrode,waylay,76.92,26,20
11.0,Corrode,iso,66.67,6,4
11.0,Corrode,astra,61.54,26,16
11.0,Corrode,kayo,58.33,24,14
11.0,Corrode,cypher,58.33,24,14
11.0,Corrode,yoru,57.69,52,30
11.0,Corrode,sova,56.52,46,26
11.0,Corrode,sage,54.55,22,12
11.0,Corrode,raze,54.55,22,12
11.0,Corrode,chamber,53.85,26,14
11.0,Corrode,fade,50.0,136,68
11.0,Corrode,omen,49.38,162,80
11.0,Corrode,neon,45.45,88,40
11.0,Corrode,viper,45.31,128,58
11.0,Corrode,deadlock,42.86,28,12
11.0,Corrode,gekko,42.86,14,6
11.0,Corrode,vyse,40.0,50,20
11.0,Corrode,skye,33.33,6,2
11.0,Corrode,jett,33.33,6,2
11.0,Corrode,breach,0.0,2,0
11.0,Corrode,clove,0.0,2,0
11.0,Corrode,phoenix,0.0,2,0
11.0,Corrode,brimstone,0.0,2,0
11.0,Haven,waylay,100.0,8,8
11.0,Haven,phoenix,100.0,4,4
11.0,Haven,fade,77.78,18,14
11.0,Haven,vyse,72.73,22,16
11.0,Haven,skye,66.67,12,8
11.0,Haven,deadlock,60.0,10,6
11.0,Haven,yoru,55.64,133,74
11.0,Haven,viper,53.62,69,37
11.0,Haven,iso,53.45,58,31
11.0,Haven,killjoy,50.91,55,28
11.0,Haven,omen,50.43,232,117
11.0,Haven,sova,46.57,204,95
11.0,Haven,cypher,46.5,157,73
11.0,Haven,neon,45.9,122,56
11.0,Haven,jett,33.33,24,8
11.0,Haven,breach,27.78,36,10
11.0,Haven,chamber,0.0,4,0
11.0,Haven,astra,0.0,2,0
11.0,Icebox,raze,100.0,4,4
11.0,Icebox,iso,75.0,8,6
11.0,Icebox,sage,57.97,69,40
11.0,Icebox,harbor,54.76,42,23
11.0,Icebox,jett,51.59,157,81
11.0,Icebox,sova,51.09,184,94
11.0,Icebox,viper,50.0,192,96
11.0,Icebox,killjoy,50.0,188,94
11.0,Icebox,chamber,50.0,4,2
11.0,Icebox,omen,40.58,69,28
11.0,Icebox,kayo,40.0,25,10
11.0,Icebox,gekko,25.0,8,2
11.0,Icebox,waylay,0.0,2,0
11.0,Icebox,reyna,0.0,2,0
11.0,Icebox,neon,0.0,2,0
11.0,Icebox,yoru,0.0,4,0
11.0,Lotus,vyse,62.2,127,79
11.0,Lotus,chamber,60.0,10,6
11.0,Lotus,raze,53.33,195,104
11.0,Lotus,yoru,51.81,83,43
11.0,Lotus,fade,51.26,238,122
11.0,Lotus,omen,50.4,250,126
11.0,Lotus,waylay,50.0,4,2
11.0,Lotus,viper,47.75,178,85
11.0,Lotus,killjoy,44.83,29,13
11.0,Lotus,deadlock,44.44,18,8
11.0,Lotus,sova,42.86,14,6
11.0,Lotus,cypher,36.36,33,12
11.0,Lotus,breach,35.71,28,10
11.0,Lotus,neon,35.29,51,18
11.0,Lotus,tejo,33.33,12,4
11.0,Lotus,clove,33.33,6,2
11.0,Lotus,kayo,0.0,4,0
11.0,Pearl,jett,100.0,2,2
11.0,Pearl,tejo,100.0,1,1
11.0,Pearl,vyse,66.67,3,2
11.0,Pearl,kayo,66.67,3,2
11.0,Pearl,astra,50.0,6,3
11.0,Pearl,sova,50.0,4,2
11.0,Pearl,fade,50.0,2,1
11.0,Pearl,killjoy,33.33,3,1
11.0,Pearl,yoru,25.0,4,1
11.0,Pearl,neon,0.0,2,0
11.0,Split,skye,100.0,2,2
11.0,Split,vyse,100.0,2,2
11.0,Split,astra,100.0,2,2
11.0,Split,raze,66.67,6,4
11.0,Split,viper,50.0,8,4
11.0,Split,omen,33.33,6,2
11.0,Split,fade,33.33,6,2
11.0,Split,yoru,33.33,6,2
11.0,Split,waylay,0.0,2,0
11.0,Sunset,chamber,75.0,8,6
11.0,Sunset,sage,60.0,20,12
11.0,Sunset,vyse,60.0,15,9
11.0,Sunset,waylay,60.0,15,9
11.0,Sunset,phoenix,53.85,13,7
11.0,Sunset,yoru,53.23,62,33
11.0,Sunset,breach,51.76,85,44
11.0,Sunset,fade,51.61,62,32
11.0,Sunset,neon,51.43,175,90
11.0,Sunset,cypher,50.3,169,85
11.0,Sunset,omen,50.0,244,122
11.0,Sunset,clove,50.0,4,2
11.0,Sunset,sova,49.46,186,92
11.0,Sunset,viper,44.44,63,28
11.0,Sunset,deadlock,42.22,45,19
11.0,Sunset,raze,41.86,43,18
11.0,Sunset,kayo,41.38,29,12
11.0,Sunset,jett,0.0,2,0
11.05,Abyss,breach,100.0,4,4
11.05,Abyss,deadlock,100.0,1,1
11.05,Abyss,waylay,83.33,12,10
11.05,Abyss,vyse,75.0,4,3
11.05,Abyss,harbor,75.0,4,3
11.05,Abyss,yoru,58.82,17,10
11.05,Abyss,cypher,51.85,27,14
11.05,Abyss,astra,50.0,16,8
11.05,Abyss,sova,50.0,38,19
11.05,Abyss,omen,48.0,25,12
11.05,Abyss,tejo,33.33,3,1
11.05,Abyss,kayo,29.41,17,5
11.05,Abyss,jett,27.78,18,5
11.05,Abyss,sage,0.0,1,0
11.05,Abyss,neon,0.0,1,0
11.05,Abyss,chamber,0.0,2,0
11.05,Ascent,waylay,100.0,4,4
11.05,Ascent,sage,60.0,10,6
11.05,Ascent,vyse,55.56,18,10
11.05,Ascent,yoru,54.55,22,12
11.05,Ascent,omen,50.0,30,15
11.05,Ascent,sova,50.0,30,15
11.05,Ascent,cypher,41.67,12,5
11.05,Ascent,jett,41.67,12,5
11.05,Ascent,kayo,37.5,8,3
11.05,Ascent,chamber,0.0,2,0
11.05,Ascent,tejo,0.0,2,0
11.05,Bind,waylay,90.91,11,10
11.05,Bind,fade,59.26,27,16
11.05,Bind,yoru,59.26,27,16
11.05,Bind,brimstone,59.26,27,16
11.05,Bind,viper,53.12,32,17
11.05,Bind,raze,43.75,16,7
11.05,Bind,deadlock,20.0,5,1
